Date,GDP (%),Inflation (%),Unemployment_rate (%),Fuel_Price(RWF_per_liter),Exchange_rate_RWF-USD
12/29/2023,17.00,6.40,16.80,"1,822.00","1,251.42"
12/28/2023,17.00,6.40,16.80,"1,822.00","1,250.45"
12/27/2023,17.00,6.40,16.80,"1,822.00","1,249.60"
12/22/2023,17.00,6.40,16.80,"1,822.00","1,248.97"
12/21/2023,17.00,6.40,16.80,"1,822.00","1,247.57"
12/20/2023,17.00,6.40,16.80,"1,822.00","1,247.01"
12/19/2023,17.00,6.40,16.80,"1,822.00","1,245.78"
12/18/2023,17.00,6.40,16.80,"1,822.00","1,244.83"
12/15/2023,17.00,6.40,16.80,"1,822.00","1,243.99"
12/14/2023,17.00,6.40,16.80,"1,822.00","1,242.93"
12/13/2023,17.00,6.40,16.80,"1,822.00","1,242.27"
12/12/2023,17.00,6.40,16.80,"1,822.00","1,241.26"
12/11/2023,17.00,6.40,16.80,"1,822.00","1,240.36"
12/8/2023,17.00,6.40,16.80,"1,822.00","1,239.59"
12/7/2023,17.00,6.40,16.80,"1,822.00","1,238.81"
12/6/2023,17.00,6.40,16.80,"1,822.00","1,238.95"
12/5/2023,17.00,6.40,16.80,"1,822.00","1,238.09"
12/4/2023,17.00,6.40,16.80,"1,822.00","1,236.69"
12/1/2023,17.00,6.40,16.80,"1,822.00","1,235.74"
11/30/2023,17.00,9.20,16.80,"1,822.00","1,234.42"
11/29/2023,17.00,9.20,16.80,"1,822.00","1,232.91"
11/28/2023,17.00,9.20,16.80,"1,822.00","1,231.69"
11/27/2023,17.00,9.20,16.80,"1,822.00","1,230.41"
11/24/2023,17.00,9.20,16.80,"1,822.00","1,229.44"
11/23/2023,17.00,9.20,16.80,"1,822.00","1,228.57"
11/22/2023,17.00,9.20,16.80,"1,822.00","1,227.66"
11/21/2023,17.00,9.20,16.80,"1,822.00","1,226.78"
11/20/2023,17.00,9.20,16.80,"1,822.00","1,225.81"
11/17/2023,17.00,9.20,16.80,"1,822.00","1,224.93"
11/16/2023,17.00,9.20,16.80,"1,822.00","1,224.90"
11/15/2023,17.00,9.20,16.80,"1,822.00","1,224.05"
11/14/2023,17.00,9.20,16.80,"1,822.00","1,223.36"
11/13/2023,17.00,9.20,16.80,"1,822.00","1,222.56"
11/10/2023,17.00,9.20,16.80,"1,822.00","1,221.77"
11/9/2023,17.00,9.20,16.80,"1,822.00","1,221.03"
11/8/2023,17.00,9.20,16.80,"1,822.00","1,220.48"
11/7/2023,17.00,9.20,16.80,"1,822.00","1,219.98"
11/6/2023,17.00,9.20,16.80,"1,822.00","1,219.55"
11/3/2023,17.00,9.20,16.80,"1,822.00","1,219.66"
11/2/2023,17.00,9.20,16.80,"1,822.00","1,219.05"
11/1/2023,17.00,9.20,16.80,"1,822.00","1,218.68"
10/31/2023,17.00,11.20,16.80,"1,822.00","1,218.02"
10/30/2023,17.00,11.20,16.80,"1,822.00","1,217.33"
10/27/2023,17.00,11.20,16.80,"1,822.00","1,216.92"
10/26/2023,17.00,11.20,16.80,"1,822.00","1,216.40"
10/25/2023,17.00,11.20,16.80,"1,822.00","1,215.87"
10/24/2023,17.00,11.20,16.80,"1,822.00","1,215.32"
10/23/2023,17.00,11.20,16.80,"1,822.00","1,214.48"
10/20/2023,17.00,11.20,16.80,"1,822.00","1,213.83"
10/19/2023,17.00,11.20,16.80,"1,822.00","1,212.87"
10/18/2023,17.00,11.20,16.80,"1,822.00","1,212.77"
10/17/2023,17.00,11.20,16.80,"1,822.00","1,211.72"
10/16/2023,17.00,11.20,16.80,"1,822.00","1,211.22"
10/13/2023,17.00,11.20,16.80,"1,822.00","1,210.87"
10/12/2023,17.00,11.20,16.80,"1,822.00","1,210.51"
10/11/2023,17.00,11.20,16.80,"1,822.00","1,210.23"
10/10/2023,17.00,11.20,16.80,"1,822.00","1,210.18"
10/9/2023,17.00,11.20,16.80,"1,822.00","1,209.15"
10/6/2023,17.00,11.20,16.80,"1,822.00","1,209.04"
10/5/2023,17.00,11.20,16.80,"1,822.00","1,208.66"
10/4/2023,17.00,11.20,16.80,"1,822.00","1,207.42"
10/3/2023,17.00,11.20,16.80,"1,822.00","1,205.94"
10/2/2023,17.00,11.20,16.80,"1,822.00","1,204.83"
9/29/2023,15.00,13.90,18.00,"1,639.00","1,202.88"
9/28/2023,15.00,13.90,18.00,"1,639.00","1,201.51"
9/27/2023,15.00,13.90,18.00,"1,639.00","1,200.62"
9/26/2023,15.00,13.90,18.00,"1,639.00","1,198.27"
9/25/2023,15.00,13.90,18.00,"1,639.00","1,196.47"
9/22/2023,15.00,13.90,18.00,"1,639.00","1,194.34"
9/21/2023,15.00,13.90,18.00,"1,639.00","1,193.11"
9/20/2023,15.00,13.90,18.00,"1,639.00","1,191.18"
9/19/2023,15.00,13.90,18.00,"1,639.00","1,190.67"
9/18/2023,15.00,13.90,18.00,"1,639.00","1,190.42"
9/15/2023,15.00,13.90,18.00,"1,639.00","1,189.04"
9/14/2023,15.00,13.90,18.00,"1,639.00","1,188.68"
9/13/2023,15.00,13.90,18.00,"1,639.00","1,187.05"
9/12/2023,15.00,13.90,18.00,"1,639.00","1,186.71"
9/11/2023,15.00,13.90,18.00,"1,639.00","1,185.76"
9/8/2023,15.00,13.90,18.00,"1,639.00","1,185.40"
9/7/2023,15.00,13.90,18.00,"1,639.00","1,184.86"
9/6/2023,15.00,13.90,18.00,"1,639.00","1,184.40"
9/5/2023,15.00,13.90,18.00,"1,639.00","1,183.29"
9/4/2023,15.00,13.90,18.00,"1,639.00","1,182.42"
9/1/2023,15.00,13.90,18.00,"1,639.00","1,181.99"
8/31/2023,15.00,13.90,18.00,"1,639.00","1,181.51"
8/30/2023,15.00,13.90,18.00,"1,639.00","1,181.14"
8/29/2023,15.00,13.90,18.00,"1,639.00","1,180.70"
8/28/2023,15.00,13.90,18.00,"1,639.00","1,179.42"
8/25/2023,15.00,13.90,18.00,"1,639.00","1,178.88"
8/24/2023,15.00,13.90,18.00,"1,639.00","1,178.40"
8/23/2023,15.00,13.90,18.00,"1,639.00","1,177.94"
8/22/2023,15.00,13.90,18.00,"1,639.00","1,176.94"
8/21/2023,15.00,13.90,18.00,"1,639.00","1,176.22"
8/18/2023,15.00,13.90,18.00,"1,639.00","1,175.37"
8/17/2023,15.00,13.90,18.00,"1,639.00","1,174.68"
8/16/2023,15.00,13.90,18.00,"1,639.00","1,173.80"
8/14/2023,15.00,13.90,18.00,"1,639.00","1,172.75"
8/11/2023,15.00,13.90,18.00,"1,639.00","1,172.00"
8/10/2023,15.00,13.90,18.00,"1,639.00","1,171.39"
8/9/2023,15.00,13.90,18.00,"1,639.00","1,170.81"
8/8/2023,15.00,13.90,18.00,"1,639.00","1,170.20"
8/7/2023,15.00,13.90,18.00,"1,639.00","1,169.57"
8/3/2023,15.00,13.90,18.00,"1,639.00","1,168.92"
8/2/2023,15.00,13.90,18.00,"1,639.00","1,167.96"
8/1/2023,15.00,13.90,18.00,"1,639.00","1,167.32"
7/31/2023,15.00,13.90,18.00,"1,517.00","1,166.48"
7/28/2023,15.00,13.90,18.00,"1,517.00","1,165.74"
7/27/2023,15.00,13.90,18.00,"1,517.00","1,165.22"
7/26/2023,15.00,13.90,18.00,"1,517.00","1,164.48"
7/25/2023,15.00,13.90,18.00,"1,517.00","1,163.94"
7/24/2023,15.00,13.90,18.00,"1,517.00","1,163.19"
7/21/2023,15.00,13.90,18.00,"1,517.00","1,162.54"
7/20/2023,15.00,13.90,18.00,"1,517.00","1,161.72"
7/19/2023,15.00,13.90,18.00,"1,517.00","1,161.17"
7/18/2023,15.00,13.90,18.00,"1,517.00",1160.718195
7/17/2023,15.00,13.90,18.00,"1,517.00","1,159.60"
7/14/2023,15.00,13.90,18.00,"1,517.00","1,159.04"
7/13/2023,15.00,13.90,18.00,"1,517.00","1,158.59"
7/12/2023,15.00,13.90,18.00,"1,517.00","1,158.31"
7/11/2023,15.00,13.90,18.00,"1,517.00","1,158.09"
7/10/2023,15.00,13.90,18.00,"1,517.00","1,157.25"
7/7/2023,15.00,13.90,18.00,"1,517.00","1,156.20"
7/6/2023,15.00,13.90,18.00,"1,517.00","1,155.46"
7/5/2023,15.00,13.90,18.00,"1,517.00","1,154.51"
6/30/2023,10.35,13.70,16.80,"1,517.00","1,153.03"
6/29/2023,10.35,13.70,16.80,"1,517.00","1,151.10"
6/27/2023,10.35,13.70,16.80,"1,517.00","1,150.59"
6/26/2023,10.35,13.70,16.80,"1,517.00","1,148.58"
6/23/2023,10.35,13.70,16.80,"1,517.00","1,146.65"
6/22/2023,10.35,13.70,16.80,"1,517.00","1,144.65"
6/21/2023,10.35,13.70,16.80,"1,517.00","1,142.95"
6/20/2023,10.35,13.70,16.80,"1,517.00","1,141.14"
6/19/2023,10.35,13.70,16.80,"1,517.00","1,138.50"
6/16/2023,10.35,13.70,16.80,"1,517.00","1,136.05"
6/15/2023,10.35,13.70,16.80,"1,517.00","1,133.94"
6/14/2023,10.35,13.70,16.80,"1,517.00","1,132.24"
6/13/2023,10.35,13.70,16.80,"1,517.00","1,130.12"
6/12/2023,10.35,13.70,16.80,"1,517.00","1,128.11"
6/9/2023,10.35,13.70,16.80,"1,517.00","1,126.94"
6/8/2023,10.35,13.70,16.80,"1,517.00","1,126.09"
6/7/2023,10.35,13.70,16.80,"1,517.00","1,124.62"
6/6/2023,10.35,13.70,16.80,"1,517.00","1,123.23"
6/5/2023,10.35,13.70,16.80,"1,517.00","1,123.21"
6/2/2023,10.35,13.70,16.80,"1,517.00","1,122.19"
6/1/2023,10.35,13.70,16.80,"1,517.00","1,121.37"
5/31/2023,10.35,14.10,16.80,"1,528.00","1,120.37"
5/30/2023,10.35,14.10,16.80,"1,528.00","1,119.60"
5/29/2023,10.35,14.10,16.80,"1,528.00","1,118.79"
5/26/2023,10.35,14.10,16.80,"1,528.00","1,117.92"
5/25/2023,10.35,14.10,16.80,"1,528.00","1,117.09"
5/24/2023,10.35,14.10,16.80,"1,528.00","1,116.24"
5/23/2023,10.35,14.10,16.80,"1,528.00","1,115.60"
5/22/2023,10.35,14.10,16.80,"1,528.00","1,115.18"
5/19/2023,10.35,14.10,16.80,"1,528.00","1,114.51"
5/18/2023,10.35,14.10,16.80,"1,528.00","1,113.54"
5/17/2023,10.35,14.10,16.80,"1,528.00","1,113.04"
5/16/2023,10.35,14.10,16.80,"1,528.00","1,112.00"
5/15/2023,10.35,14.10,16.80,"1,528.00","1,111.57"
5/12/2023,10.35,14.10,16.80,"1,528.00","1,110.41"
5/11/2023,10.35,14.10,16.80,"1,528.00","1,109.83"
5/10/2023,10.35,14.10,16.80,"1,528.00","1,109.45"
5/9/2023,10.35,14.10,16.80,"1,528.00","1,109.33"
5/8/2023,10.35,14.10,16.80,"1,528.00","1,108.26"
5/5/2023,10.35,14.10,16.80,"1,528.00","1,107.55"
5/4/2023,10.35,14.10,16.80,"1,528.00","1,106.34"
5/3/2023,10.35,14.10,16.80,"1,528.00","1,105.85"
5/2/2023,10.35,14.10,16.80,"1,528.00","1,105.31"
4/28/2023,10.35,17.80,16.80,"1,528.00","1,104.47"
4/27/2023,10.35,17.80,16.80,"1,528.00","1,103.69"
4/26/2023,10.35,17.80,16.80,"1,528.00","1,102.60"
4/25/2023,10.35,17.80,16.80,"1,528.00","1,102.66"
4/24/2023,10.35,17.80,16.80,"1,528.00","1,102.51"
4/20/2023,10.35,17.80,16.80,"1,528.00","1,101.93"
4/19/2023,10.35,17.80,16.80,"1,528.00","1,100.93"
4/18/2023,10.35,17.80,16.80,"1,528.00","1,101.39"
4/17/2023,10.35,17.80,16.80,"1,528.00","1,100.66"
4/14/2023,10.35,17.80,16.80,"1,528.00","1,099.22"
4/13/2023,10.35,17.80,16.80,"1,528.00","1,098.11"
4/12/2023,10.35,17.80,16.80,"1,528.00","1,096.31"
4/11/2023,10.35,17.80,16.80,"1,528.00","1,095.68"
4/6/2023,10.35,17.80,16.80,"1,528.00","1,094.94"
4/5/2023,10.35,17.80,16.80,"1,528.00","1,094.83"
4/4/2023,10.35,17.80,16.80,"1,528.00","1,094.19"
4/3/2023,10.35,17.80,16.80,"1,528.00","1,094.08"
3/31/2023,7.24,19.30,17.20,"1,544.00","1,092.70"
3/30/2023,7.24,19.30,17.20,"1,544.00","1,092.31"
3/29/2023,7.24,19.30,17.20,"1,544.00","1,091.31"
3/28/2023,7.24,19.30,17.20,"1,544.00","1,090.01"
3/27/2023,7.24,19.30,17.20,"1,544.00","1,089.36"
3/24/2023,7.24,19.30,17.20,"1,544.00","1,089.95"
3/23/2023,7.24,19.30,17.20,"1,544.00","1,089.64"
3/22/2023,7.24,19.30,17.20,"1,544.00","1,088.02"
3/21/2023,7.24,19.30,17.20,"1,544.00","1,086.12"
3/20/2023,7.24,19.30,17.20,"1,544.00","1,086.31"
3/17/2023,7.24,19.30,17.20,"1,544.00","1,085.27"
3/16/2023,7.24,19.30,17.20,"1,544.00","1,086.09"
3/15/2023,7.24,19.30,17.20,"1,544.00","1,084.23"
3/14/2023,7.24,19.30,17.20,"1,544.00","1,084.19"
3/13/2023,7.24,19.30,17.20,"1,544.00","1,083.75"
3/10/2023,7.24,19.30,17.20,"1,544.00","1,083.69"
3/9/2023,7.24,19.30,17.20,"1,544.00","1,083.80"
3/8/2023,7.24,19.30,17.20,"1,544.00","1,082.79"
3/7/2023,7.24,19.30,17.20,"1,544.00","1,081.58"
3/6/2023,7.24,19.30,17.20,"1,544.00","1,081.25"
3/3/2023,7.24,19.30,17.20,"1,544.00","1,080.93"
3/2/2023,7.24,19.30,17.20,"1,544.00","1,081.25"
3/1/2023,7.24,19.30,17.20,"1,544.00","1,080.24"
2/28/2023,7.24,20.80,17.20,"1,544.00","1,080.26"
2/27/2023,7.24,20.80,17.20,"1,544.00","1,081.28"
2/24/2023,7.24,20.80,17.20,"1,544.00","1,080.51"
2/23/2023,7.24,20.80,17.20,"1,544.00","1,080.60"
2/22/2023,7.24,20.80,17.20,"1,544.00","1,079.69"
2/21/2023,7.24,20.80,17.20,"1,544.00","1,079.35"
2/20/2023,7.24,20.80,17.20,"1,544.00","1,078.40"
2/17/2023,7.24,20.80,17.20,"1,544.00","1,078.69"
2/16/2023,7.24,20.80,17.20,"1,544.00","1,078.21"
2/15/2023,7.24,20.80,17.20,"1,544.00","1,077.51"
2/14/2023,7.24,20.80,17.20,"1,544.00","1,077.39"
2/13/2023,7.24,20.80,17.20,"1,544.00","1,076.92"
2/10/2023,7.24,20.80,17.20,"1,544.00","1,076.75"
2/9/2023,7.24,20.80,17.20,"1,544.00","1,076.12"
2/8/2023,7.24,20.80,17.20,"1,544.00","1,076.14"
2/7/2023,7.24,20.80,17.20,"1,544.00","1,076.13"
2/6/2023,7.24,20.80,17.20,"1,544.00","1,074.80"
2/3/2023,7.24,20.80,17.20,"1,544.00","1,075.04"
2/2/2023,7.24,20.80,17.20,"1,544.00","1,074.12"
1/31/2023,7.24,20.70,17.20,"1,580.00","1,073.03"
1/30/2023,7.24,20.70,17.20,"1,580.00","1,072.12"
1/27/2023,7.24,20.70,17.20,"1,580.00","1,072.68"
1/26/2023,7.24,20.70,17.20,"1,580.00","1,071.19"
1/25/2023,7.24,20.70,17.20,"1,580.00","1,071.15"
1/24/2023,7.24,20.70,17.20,"1,580.00","1,070.44"
1/23/2023,7.24,20.70,17.20,"1,580.00","1,069.04"
1/20/2023,7.24,20.70,17.20,"1,580.00","1,068.27"
1/19/2023,7.24,20.70,17.20,"1,580.00","1,066.72"
1/18/2023,7.24,20.70,17.20,"1,580.00","1,066.60"
1/17/2023,7.24,20.70,17.20,"1,580.00","1,066.35"
1/16/2023,7.24,20.70,17.20,"1,580.00","1,065.67"
1/13/2023,7.24,20.70,17.20,"1,580.00","1,065.01"
1/12/2023,7.24,20.70,17.20,"1,580.00","1,064.63"
1/11/2023,7.24,20.70,17.20,"1,580.00","1,063.78"
1/10/2023,7.24,20.70,17.20,"1,580.00","1,062.59"
1/9/2023,7.24,20.70,17.20,"1,580.00","1,062.48"
1/6/2023,7.24,20.70,17.20,"1,580.00","1,062.04"
1/5/2023,7.24,20.70,17.20,"1,580.00","1,061.56"
1/4/2023,7.24,20.70,17.20,"1,580.00","1,061.09"
